,Loteria,url,Dia sorteo
0,Antioqueñita día,https://resultadodelaloteria.com/colombia/antioquenita-dia,Todos los días
1,Antioqueñita tarde,https://resultadodelaloteria.com/colombia/antioquenita-tarde,Todos los días
2,Baloto,https://resultadodelaloteria.com/colombia/baloto,Miércoles y Sábados
3,Cafeterito Noche,https://resultadodelaloteria.com/colombia/cafeterito-noche,Todos los días
4,Cafeterito Tarde,https://resultadodelaloteria.com/colombia/cafeterito-tarde,Lunes a Sábados
5,Cash Three Día,https://resultadodelaloteria.com/colombia/cash-3-dia,Todos los días
6,Cash Three Noche,https://resultadodelaloteria.com/colombia/cash-3-noche,Todos los días
7,Chontico Día,https://resultadodelaloteria.com/colombia/chontico-dia,Todos los días
8,Chontico Noche,https://resultadodelaloteria.com/colombia/chontico-noche,Todos los días
9,Chontico Noche Jueves,https://resultadodelaloteria.com/colombia/chontico-noche-jueves,Jueves
10,El Dorado Mañana,https://resultadodelaloteria.com/colombia/dorado-manana,Lunes a Sábados
11,El Dorado Noche,https://resultadodelaloteria.com/colombia/dorado-noche,Domingos y Sábados
12,El Dorado Tarde,https://resultadodelaloteria.com/colombia/dorado-tarde,Lunes a Sábados
13,Evening,https://resultadodelaloteria.com/colombia/evening,Todos los días
14,La Caribeña Día,https://resultadodelaloteria.com/colombia/caribena-dia,Todos los días
15,La Caribeña Noche,https://resultadodelaloteria.com/colombia/caribena-noche,Todos los días
16,La Culona,https://resultadodelaloteria.com/colombia/culona,Todos los días
17,La Culona Noche,https://resultadodelaloteria.com/colombia/culona-noche,Lunes a Sábados
18,La Fantastica Día,https://resultadodelaloteria.com/colombia/fantastica-dia,Lunes a Sábados
19,La Fantastica Noche,https://resultadodelaloteria.com/colombia/fantastica-noche,Todos los días
20,Lotería de Bogotá,https://resultadodelaloteria.com/colombia/loteria-de-bogota,Jueves
21,Lotería de Boyacá,https://resultadodelaloteria.com/colombia/loteria-de-boyaca,Sábados
22,Lotería de Cundinamarca,https://resultadodelaloteria.com/colombia/loteria-de-cundinamarca,Lunes
23,Lotería de la Cruz Roja,https://resultadodelaloteria.com/colombia/loteria-de-la-cruz-roja,Martes
24,Lotería de Manizales,https://resultadodelaloteria.com/colombia/loteria-de-manizales,Miércoles
25,Lotería de Medellín,https://resultadodelaloteria.com/colombia/loteria-de-medellin,Viernes
26,Lotería de Risaralda,https://resultadodelaloteria.com/colombia/loteria-de-risaralda,Viernes
27,Lotería de Santander,https://resultadodelaloteria.com/colombia/loteria-de-santander,Viernes
28,Lotería del Cauca,https://resultadodelaloteria.com/colombia/loteria-del-cauca,Sábados
29,Lotería del Huila,https://resultadodelaloteria.com/colombia/loteria-del-huila,Martes
30,Lotería del Meta,https://resultadodelaloteria.com/colombia/loteria-del-meta,Miércoles
31,Lotería del Quindío,https://resultadodelaloteria.com/colombia/loteria-del-quindio,Jueves
32,Lotería del Tolima,https://resultadodelaloteria.com/colombia/loteria-del-tolima,Lunes
33,Lotería del Valle,https://resultadodelaloteria.com/colombia/loteria-del-valle,Miércoles
34,Motilon Noche,https://resultadodelaloteria.com/colombia/motilon-noche,Todos los días
35,Motilon Tarde,https://resultadodelaloteria.com/colombia/motilon-tarde,Todos los días
36,Paisita 3,https://resultadodelaloteria.com/colombia/paisita-3,Sábados
37,Paisita Día,https://resultadodelaloteria.com/colombia/paisita-dia,Todos los días
38,Paisita Noche,https://resultadodelaloteria.com/colombia/paisita-noche,Todos los días
39,Pijao de Oro,https://resultadodelaloteria.com/colombia/pijao-de-oro,Todos los días
40,Play Four Día,https://resultadodelaloteria.com/colombia/play-4-dia,Todos los días
41,Play Four Noche,https://resultadodelaloteria.com/colombia/play-4-noche,Todos los días
42,Samán de la Suerte,https://resultadodelaloteria.com/colombia/saman,Todos los días
43,Sinuano Día,https://resultadodelaloteria.com/colombia/sinuano-dia,Todos los días
44,Sinuano Noche,https://resultadodelaloteria.com/colombia/sinuano-noche,Todos los días
45,Super Astro Luna,https://resultadodelaloteria.com/colombia/astro-luna,Todos los días
46,Super Astro Sol,https://resultadodelaloteria.com/colombia/astro-sol,Lunes a Sábados
47,Win 4,https://resultadodelaloteria.com/colombia/win-4,Todos los días
